,code,mean value
0,AUS,0.125
1,AUT,0.09666666666666668
2,BEL,0.07866666666666666
3,CAN,0.10633333333333334
4,CZE,0.056666666666666664
5,DNK,0.0645
6,FIN,0.06325
7,FRA,0.0845
8,DEU,0.10350000000000001
9,GRC,0.122
10,HUN,0.08866666666666667
11,IRL,0.07733333333333332
12,ITA,0.1376666666666667
13,KOR,0.161
14,LUX,0.10566666666666667
15,MEX,0.1625
16,NLD,0.08125
17,NZL,0.13
18,NOR,0.08275
19,POL,0.09433333333333334
20,PRT,0.11266666666666665
21,SVK,0.0775
22,ESP,0.14766666666666664
23,SWE,0.0895
24,CHE,0.10200000000000001
25,TUR,0.147
26,GBR,0.11766666666666666
27,USA,0.16899999999999998
28,EST,0.15666666666666665
29,ISR,0.17033333333333334
30,SVN,0.073
31,JPN,0.157
32,LVA,0.1665
33,LTU,0.15
34,CRI,0.20400000000000001
35,BGR,0.167
36,ROU,0.17300000000000001
37,HRV,0.13133333333333333
