,code,year,value,country name,country,density
0,AUS,2018.0,0.124,Australia,Australia,3.010
1,AUS,2020.0,0.126,Australia,Australia,3.010
2,AUT,2018.0,0.094,Austria,Austria,102.830
3,AUT,2019.0,0.1,Austria,Austria,102.830
4,AUT,2020.0,0.096,Austria,Austria,102.830
5,BEL,2018.0,0.082,Belgium,Belgium,369.720
6,BEL,2019.0,0.081,Belgium,Belgium,369.720
7,BEL,2020.0,0.073,Belgium,Belgium,369.720
8,CAN,2018.0,0.118,Canada,Canada,3.870
9,CAN,2019.0,0.115,Canada,Canada,3.870
10,CAN,2020.0,0.086,Canada,Canada,3.870
11,CZE,2018.0,0.061,Czech Republic,Czech Republic,136.240
12,CZE,2019.0,0.056,Czech Republic,Czech Republic,136.240
13,CZE,2020.0,0.053,Czech Republic,Czech Republic,136.240
14,DNK,2018.0,0.064,Denmark,Denmark,132.310
15,DNK,2019.0,0.065,Denmark,Denmark,132.310
16,FIN,2018.0,0.065,Finland,Finland,17.900
17,FIN,2019.0,0.064,Finland,Finland,17.900
18,FIN,2020.0,0.057,Finland,Finland,17.900
19,FIN,2021.0,0.067,Finland,Finland,17.900
20,FRA,2018.0,0.085,France,France,120.590
21,FRA,2019.0,0.084,France,France,120.590
22,DEU,2018.0,0.098,Germany,Germany,231.310
23,DEU,2019.0,0.109,Germany,Germany,231.310
24,GRC,2018.0,0.121,Greece,Greece,85.590
25,GRC,2019.0,0.115,Greece,Greece,85.590
26,GRC,2020.0,0.13,Greece,Greece,85.590
27,HUN,2018.0,0.087,Hungary,Hungary,109.330
28,HUN,2019.0,0.092,Hungary,Hungary,109.330
29,HUN,2020.0,0.087,Hungary,Hungary,109.330
30,IRL,2018.0,0.074,Ireland,Ireland,66.700
31,IRL,2019.0,0.081,Ireland,Ireland,66.700
32,IRL,2020.0,0.077,Ireland,Ireland,66.700
33,ITA,2018.0,0.142,Italy,Italy,203.410
34,ITA,2019.0,0.136,Italy,Italy,203.410
35,ITA,2020.0,0.135,Italy,Italy,203.410
36,KOR,2018.0,0.167,"Korea, Republic of",,
37,KOR,2019.0,0.163,"Korea, Republic of",,
38,KOR,2020.0,0.153,"Korea, Republic of",,
39,LUX,2018.0,0.114,Luxembourg,Luxembourg,209.730
40,LUX,2019.0,0.105,Luxembourg,Luxembourg,209.730
41,LUX,2020.0,0.098,Luxembourg,Luxembourg,209.730
42,MEX,2018.0,0.159,Mexico,Mexico,62.930
43,MEX,2020.0,0.166,Mexico,Mexico,62.930
44,NLD,2018.0,0.078,Netherlands,Netherlands,498.350
45,NLD,2019.0,0.08,Netherlands,Netherlands,498.350
46,NLD,2020.0,0.082,Netherlands,Netherlands,498.350
47,NLD,2021.0,0.085,Netherlands,Netherlands,498.350
48,NZL,2018.0,0.137,New Zealand,New Zealand,16.980
49,NZL,2019.0,0.129,New Zealand,New Zealand,16.980
50,NZL,2020.0,0.124,New Zealand,New Zealand,16.980
51,NOR,2018.0,0.084,Norway,Norway,13.920
52,NOR,2019.0,0.084,Norway,Norway,13.920
53,NOR,2020.0,0.084,Norway,Norway,13.920
54,NOR,2021.0,0.079,Norway,Norway,13.920
55,POL,2018.0,0.098,Poland,Poland,125.830
56,POL,2019.0,0.094,Poland,Poland,125.830
57,POL,2020.0,0.091,Poland,Poland,125.830
58,PRT,2018.0,0.104,Portugal,Portugal,114.200
59,PRT,2019.0,0.106,Portugal,Portugal,114.200
60,PRT,2020.0,0.128,Portugal,Portugal,114.200
61,SVK,2018.0,0.077,Slovakia,,
62,SVK,2019.0,0.078,Slovakia,,
63,ESP,2018.0,0.142,Spain,Spain,93.520
64,ESP,2019.0,0.147,Spain,Spain,93.520
65,ESP,2020.0,0.154,Spain,Spain,93.520
66,SWE,2018.0,0.087,Sweden,Sweden,23.550
67,SWE,2019.0,0.091,Sweden,Sweden,23.550
68,SWE,2020.0,0.088,Sweden,Sweden,23.550
69,SWE,2021.0,0.092,Sweden,Sweden,23.550
70,CHE,2018.0,0.105,Switzerland,Switzerland,204.510
71,CHE,2019.0,0.099,Switzerland,Switzerland,204.510
72,TUR,2018.0,0.144,Turkey,Turkey,97.360
73,TUR,2019.0,0.15,Turkey,Turkey,97.360
74,GBR,2018.0,0.117,United Kingdom,United Kingdom,264.940
75,GBR,2019.0,0.124,United Kingdom,United Kingdom,264.940
76,GBR,2020.0,0.112,United Kingdom,United Kingdom,264.940
77,USA,2018.0,0.181,United States,United States,34.560
78,USA,2019.0,0.18,United States,United States,34.560
79,USA,2020.0,0.164,United States,United States,34.560
80,USA,2021.0,0.151,United States,United States,34.560
81,EST,2018.0,0.163,Estonia,Estonia,31.250
82,EST,2019.0,0.149,Estonia,Estonia,31.250
83,EST,2020.0,0.158,Estonia,Estonia,31.250
84,ISR,2018.0,0.169,Israel,Israel,372.430
85,ISR,2019.0,0.173,Israel,Israel,372.430
86,ISR,2020.0,0.169,Israel,Israel,372.430
87,SVN,2018.0,0.075,Slovenia,Slovenia,102.310
88,SVN,2019.0,0.074,Slovenia,Slovenia,102.310
89,SVN,2020.0,0.07,Slovenia,Slovenia,102.310
90,JPN,2018.0,0.157,Japan,Japan,349.290
91,LVA,2018.0,0.175,Latvia,Latvia,32.380
92,LVA,2019.0,0.162,Latvia,Latvia,32.380
93,LVA,2020.0,0.169,Latvia,Latvia,32.380
94,LVA,2021.0,0.16,Latvia,Latvia,32.380
95,LTU,2018.0,0.155,Lithuania,Lithuania,47.170
96,LTU,2019.0,0.154,Lithuania,Lithuania,47.170
97,LTU,2020.0,0.141,Lithuania,Lithuania,47.170
98,CRI,2018.0,0.209,Costa Rica,Costa Rica,95.420
99,CRI,2019.0,0.199,Costa Rica,Costa Rica,95.420
100,CRI,2020.0,0.205,Costa Rica,Costa Rica,95.420
101,CRI,2021.0,0.203,Costa Rica,Costa Rica,95.420
102,BGR,2018.0,0.167,Bulgaria,Bulgaria,66.920
103,BGR,2019.0,0.176,Bulgaria,Bulgaria,66.920
104,BGR,2020.0,0.158,Bulgaria,Bulgaria,66.920
105,ROU,2018.0,0.174,Romania,Romania,86.790
106,ROU,2019.0,0.17,Romania,Romania,86.790
107,ROU,2020.0,0.175,Romania,Romania,86.790
108,HRV,2018.0,0.13,Croatia,Croatia,76.000
109,HRV,2019.0,0.133,Croatia,Croatia,76.000
110,HRV,2020.0,0.131,Croatia,Croatia,76.000
111,AFG,,,Afghanistan,Afghanistan,46.800
112,ALA,,,Åland Islands,,
113,ALB,,,Albania,Albania,101.230
114,DZA,,,Algeria,Algeria,16.460
115,ASM,,,American Samoa,American Samoa,275.830
116,AND,,,Andorra,Andorra,168.550
117,AGO,,,Angola,Angola,17.220
118,AIA,,,Anguilla,,
119,ATA,,,Antarctica,,
120,ATG,,,Antigua and Barbuda,Antigua and Barbuda,204.510
121,ARG,,,Argentina,Argentina,15.140
122,ARM,,,Armenia,Armenia,104.550
123,ABW,,,Aruba,Aruba,571.730
124,AZE,,,Azerbaijan,Azerbaijan,113.920
125,BHS,,,Bahamas,,
126,BHR,,,Bahrain,Bahrain,"1,752.860"
127,BGD,,,Bangladesh,Bangladesh,"1,203.000"
128,BRB,,,Barbados,Barbados,661.960
129,BLR,,,Belarus,Belarus,46.650
130,BLZ,,,Belize,Belize,14.550
131,BEN,,,Benin,Benin,91.550
132,BMU,,,Bermuda,Bermuda,"1,300.480"
133,BTN,,,Bhutan,Bhutan,19.780
134,BOL,,,"Bolivia, Plurinational State of",,
135,BIH,,,Bosnia and Herzegovina,Bosnia and Herzegovina,75.080
136,BWA,,,Botswana,Botswana,3.570
137,BVT,,,Bouvet Island,,
138,BRA,,,Brazil,Brazil,23.970
139,IOT,,,British Indian Ocean Territory,,
140,BRN,,,Brunei Darussalam,Brunei Darussalam,79.280
141,BFA,,,Burkina Faso,Burkina Faso,61.900
142,BDI,,,Burundi,Burundi,395.740
143,KHM,,,Cambodia,Cambodia,85.740
144,CMR,,,Cameroon,Cameroon,47.080
145,CPV,,,Cape Verde,,
146,CYM,,,Cayman Islands,Cayman Islands,243.480
147,CAF,,,Central African Republic,Central African Republic,7.410
148,TCD,,,Chad,Chad,10.190
149,CHL,,,Chile,Chile,23.700
150,CHN,,,China,China,144.580
151,CXR,,,Christmas Island,,
152,CCK,,,Cocos (Keeling) Islands,,
153,COL,,,Colombia,Colombia,43.550
154,COM,,,Comoros,Comoros,394.900
155,COG,,,Congo,,
156,COD,,,"Congo, the Democratic Republic of the",,
157,COK,,,Cook Islands,,
158,CIV,,,Côte d'Ivoire,,
159,CUB,,,Cuba,Cuba,105.840
160,CYP,,,Cyprus,Cyprus,123.500
161,DJI,,,Djibouti,Djibouti,37.660
162,DMA,,,Dominica,Dominica,96.000
163,DOM,,,Dominican Republic,Dominican Republic,215.310
164,ECU,,,Ecuador,Ecuador,63.370
165,EGY,,,Egypt,,
166,SLV,,,El Salvador,El Salvador,306.010
167,GNQ,,,Equatorial Guinea,Equatorial Guinea,26.990
