,proven victims,country,mean,max,min
0,5,Singapore,7713.14,7713.14,7713.14
1,11,Bangladesh,1203.0,1203.0,1203.0
2,7,Bangladesh,1203.0,1203.0,1203.0
3,3,Netherlands,498.35,498.35,498.35
4,4,Netherlands,498.35,498.35,498.35
5,19,India,421.14,421.14,421.14
6,10,India,421.14,421.14,421.14
7,20,India,421.14,421.14,421.14
8,41,India,421.14,421.14,421.14
9,18,India,421.14,421.14,421.14
10,70,India,421.14,421.14,421.14
11,25,India,421.14,421.14,421.14
12,17,India,421.14,421.14,421.14
13,15,India,421.14,421.14,421.14
14,12,India,421.14,421.14,421.14
15,16,Belgium,369.72,369.72,369.72
16,6,Belgium,369.72,369.72,369.72
17,11,Belgium,369.72,369.72,369.72
18,8,Japan,349.29,349.29,349.29
19,12,Japan,349.29,349.29,349.29
20,11,Japan,349.29,349.29,349.29
21,3,Japan,349.29,349.29,349.29
22,5,United Kingdom,264.94,264.94,264.94
23,4,United Kingdom,264.94,264.94,264.94
24,12,United Kingdom,264.94,264.94,264.94
25,3,United Kingdom,264.94,264.94,264.94
26,26,United Kingdom,264.94,264.94,264.94
27,13,United Kingdom,264.94,264.94,264.94
28,7,United Kingdom,264.94,264.94,264.94
29,100,Pakistan,236.28,236.28,236.28
30,14,Pakistan,236.28,236.28,236.28
31,10,Germany,231.31,231.31,231.31
32,23,Germany,231.31,231.31,231.31
33,30,Germany,231.31,231.31,231.31
34,24,Germany,231.31,231.31,231.31
35,3,Germany,231.31,231.31,231.31
36,12,Germany,231.31,231.31,231.31
37,4,Germany,231.31,231.31,231.31
38,14,Germany,231.31,231.31,231.31
39,9,Germany,231.31,231.31,231.31
40,23,Switzerland,204.51,204.51,204.51
41,5,Switzerland,204.51,204.51,204.51
42,14,Italy,203.41,203.41,203.41
43,58,Italy,203.41,203.41,203.41
44,15,Italy,203.41,203.41,203.41
45,17,Italy,203.41,203.41,203.41
46,4,Italy,203.41,203.41,203.41
47,9,Italy,203.41,203.41,203.41
48,3,Italy,203.41,203.41,203.41
49,5,Italy,203.41,203.41,203.41
50,7,Italy,203.41,203.41,203.41
51,12,Nepal,193.91,193.91,193.91
52,17,China,144.58,144.58,144.58
53,15,China,144.58,144.58,144.58
54,28,China,144.58,144.58,144.58
55,11,China,144.58,144.58,144.58
56,10,China,144.58,144.58,144.58
57,6,China,144.58,144.58,144.58
58,67,China,144.58,144.58,144.58
59,8,China,144.58,144.58,144.58
60,45,China,144.58,144.58,144.58
61,11,Czech Republic,136.24,136.24,136.24
62,9,Czech Republic,136.24,136.24,136.24
63,5,Czech Republic,136.24,136.24,136.24
64,9,Denmark,132.31,132.31,132.31
65,12,Thailand,131.16,131.16,131.16
66,14,Poland,125.83,125.83,125.83
67,6,Poland,125.83,125.83,125.83
68,4,Indonesia,124.0,124.0,124.0
69,11,Indonesia,124.0,124.0,124.0
70,42,Indonesia,124.0,124.0,124.0
71,7,Cyprus,123.5,123.5,123.5
72,7,France,120.59,120.59,120.59
73,23,France,120.59,120.59,120.59
74,5,France,120.59,120.59,120.59
75,18,France,120.59,120.59,120.59
76,11,France,120.59,120.59,120.59
77,4,France,120.59,120.59,120.59
78,9,France,120.59,120.59,120.59
79,16,France,120.59,120.59,120.59
80,10,France,120.59,120.59,120.59
81,8,France,120.59,120.59,120.59
82,35,Hungary,109.33,109.33,109.33
83,24,Hungary,109.33,109.33,109.33
84,11,Austria,102.83,102.83,102.83
85,4,Austria,102.83,102.83,102.83
86,10,Turkey,97.36,97.36,97.36
87,18,Turkey,97.36,97.36,97.36
88,11,Turkey,97.36,97.36,97.36
89,3,Turkey,97.36,97.36,97.36
90,6,Costa Rica,95.42,95.42,95.42
91,19,Costa Rica,95.42,95.42,95.42
92,9,Spain,93.52,93.52,93.52
93,12,Spain,93.52,93.52,93.52
94,16,Spain,93.52,93.52,93.52
95,11,Spain,93.52,93.52,93.52
96,7,Spain,93.52,93.52,93.52
97,12,Malaysia,90.45,90.45,90.45
98,35,Romania,86.79,86.79,86.79
99,21,Romania,86.79,86.79,86.79
100,27,Greece,85.59,85.59,85.59
101,35,Serbia,81.91,81.91,81.91
102,5,Serbia,81.91,81.91,81.91
103,14,Ukraine,78.52,78.52,78.52
104,33,Ukraine,78.52,78.52,78.52
105,17,Ukraine,78.52,78.52,78.52
106,16,Ukraine,78.52,78.52,78.52
107,15,Ukraine,78.52,78.52,78.52
108,4,Ukraine,78.52,78.52,78.52
109,36,Ukraine,78.52,78.52,78.52
110,13,Ukraine,78.52,78.52,78.52
111,12,Ukraine,78.52,78.52,78.52
112,7,Ukraine,78.52,78.52,78.52
113,11,Ukraine,78.52,78.52,78.52
114,22,Ukraine,78.52,78.52,78.52
115,10,Ukraine,78.52,78.52,78.52
116,52,Ukraine,78.52,78.52,78.52
117,19,Ukraine,78.52,78.52,78.52
118,53,Ukraine,78.52,78.52,78.52
119,50,Ukraine,78.52,78.52,78.52
120,33,Iraq,76.94,76.94,76.94
121,36,Morocco,73.96,73.96,73.96
122,28,Swaziland,72.65,72.65,72.65
123,13,Tunisia,70.07,70.07,70.07
124,4,Ireland,66.7,66.7,66.7
125,72,Ecuador,63.37,63.37,63.37
126,110,Ecuador,63.37,63.37,63.37
127,23,Ecuador,63.37,63.37,63.37
128,138,Ecuador,63.37,63.37,63.37
129,11,Mexico,62.93,62.93,62.93
130,15,Mexico,62.93,62.93,62.93
131,3,Mexico,62.93,62.93,62.93
132,33,Mexico,62.93,62.93,62.93
133,21,Mexico,62.93,62.93,62.93
134,22,Tajikistan,58.64,58.64,58.64
135,20,Afghanistan,46.8,46.8,46.8
136,6,Belarus,46.65,46.65,46.65
137,18,South Africa,43.68,43.68,43.68
138,27,South Africa,43.68,43.68,43.68
139,9,South Africa,43.68,43.68,43.68
140,20,South Africa,43.68,43.68,43.68
141,19,South Africa,43.68,43.68,43.68
142,38,South Africa,43.68,43.68,43.68
143,10,South Africa,43.68,43.68,43.68
144,13,South Africa,43.68,43.68,43.68
145,16,South Africa,43.68,43.68,43.68
146,15,South Africa,43.68,43.68,43.68
147,72,Colombia,43.55,43.55,43.55
148,30,Colombia,43.55,43.55,43.55
149,138,Colombia,43.55,43.55,43.55
150,110,Colombia,43.55,43.55,43.55
151,21,Colombia,43.55,43.55,43.55
152,6,Colombia,43.55,43.55,43.55
153,7,Colombia,43.55,43.55,43.55
154,33,United States,34.56,34.56,34.56
155,8,United States,34.56,34.56,34.56
156,35,United States,34.56,34.56,34.56
157,7,United States,34.56,34.56,34.56
158,3,United States,34.56,34.56,34.56
159,5,United States,34.56,34.56,34.56
160,60,United States,34.56,34.56,34.56
161,23,United States,34.56,34.56,34.56
162,9,United States,34.56,34.56,34.56
163,49,United States,34.56,34.56,34.56
164,6,United States,34.56,34.56,34.56
165,25,United States,34.56,34.56,34.56
166,10,United States,34.56,34.56,34.56
167,4,United States,34.56,34.56,34.56
168,15,United States,34.56,34.56,34.56
169,13,United States,34.56,34.56,34.56
170,12,United States,34.56,34.56,34.56
171,19,United States,34.56,34.56,34.56
172,21,United States,34.56,34.56,34.56
