,country,median,mean,max,min
0,Ecuador,91.0,85.8,138,23
1,Venezuela,76.5,76.5,138,15
2,Peru,63.5,63.5,110,17
3,Pakistan,57.0,57.0,100,14
4,Morocco,36.0,36.0,36,36
5,Iraq,33.0,33.0,33,33
6,Egypt,32.0,32.0,32,32
7,Brazil,30.0,35.6,72,11
8,Colombia,30.0,54.9,138,6
9,Hungary,29.5,29.5,35,24
10,Romania,28.0,28.0,35,21
11,Swaziland,28.0,28.0,28,28
12,Greece,27.0,27.0,27,27
13,Iran,24.0,24.4,33,16
14,Tajikistan,22.0,22.0,22,22
15,Serbia,20.0,20.0,35,5
16,Afghanistan,20.0,20.0,20,20
17,India,19.0,24.2,70,10
18,Latvia,16.0,16.0,19,13
19,South Africa,16.0,16.3,38,9
20,Mexico,15.0,16.6,33,3
21,South Korea,14.5,15.0,21,10
22,Ukraine,14.5,22.2,53,4
23,Chile,14.0,14.0,14,14
24,Switzerland,14.0,14.0,23,5
25,Russia,13.0,17.9,83,7
26,China,13.0,21.8,67,6
27,Tunisia,13.0,13.0,13,13
28,Argentina,13.0,13.0,15,11
29,Costa Rica,12.5,12.5,19,6
30,Thailand,12.0,12.0,12,12
31,Nepal,12.0,12.0,12,12
32,Yemen,12.0,12.0,12,12
33,Malaysia,12.0,12.0,12,12
34,Indonesia,11.0,19.0,42,4
35,Belgium,11.0,11.0,16,6
36,Spain,11.0,11.0,16,7
37,Turkey,10.5,10.5,18,3
38,Poland,10.0,10.0,14,6
39,United States,10.0,11.9,60,3
40,Italy,9.0,14.7,58,3
41,Germany,9.0,12.2,30,3
42,France,9.0,10.6,23,4
43,Denmark,9.0,9.0,9,9
44,Czech Republic,9.0,8.3,11,5
45,Bangladesh,9.0,9.0,11,7
46,Australia,8.0,8.4,11,6
47,Canada,8.0,16.1,49,7
48,Japan,8.0,8.4,12,3
49,Austria,7.5,7.5,11,4
50,Cyprus,7.0,7.0,7,7
51,Belarus,6.0,6.0,6,6
52,Singapore,5.0,5.0,5,5
53,Angola,5.0,5.0,5,5
54,United Kingdom,4.0,7.0,26,3
55,Ireland,4.0,4.0,4,4
56,Netherlands,3.5,3.5,4,3
