"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","TOT","RT","A","2018",0.124,
"AUS","POVERTY","TOT","RT","A","2020",0.126,
"AUT","POVERTY","TOT","RT","A","2018",0.094,
"AUT","POVERTY","TOT","RT","A","2019",0.1,
"AUT","POVERTY","TOT","RT","A","2020",0.096,
"BEL","POVERTY","TOT","RT","A","2018",0.082,
"BEL","POVERTY","TOT","RT","A","2019",0.081,
"BEL","POVERTY","TOT","RT","A","2020",0.073,
"CAN","POVERTY","TOT","RT","A","2018",0.118,
"CAN","POVERTY","TOT","RT","A","2019",0.115,
"CAN","POVERTY","TOT","RT","A","2020",0.086,
"CZE","POVERTY","TOT","RT","A","2018",0.061,
"CZE","POVERTY","TOT","RT","A","2019",0.056,
"CZE","POVERTY","TOT","RT","A","2020",0.053,
"DNK","POVERTY","TOT","RT","A","2018",0.064,
"DNK","POVERTY","TOT","RT","A","2019",0.065,
"FIN","POVERTY","TOT","RT","A","2018",0.065,
"FIN","POVERTY","TOT","RT","A","2019",0.064,
"FIN","POVERTY","TOT","RT","A","2020",0.057,
"FIN","POVERTY","TOT","RT","A","2021",0.067,
"FRA","POVERTY","TOT","RT","A","2018",0.085,
"FRA","POVERTY","TOT","RT","A","2019",0.084,
"DEU","POVERTY","TOT","RT","A","2018",0.098,
"DEU","POVERTY","TOT","RT","A","2019",0.109,
"GRC","POVERTY","TOT","RT","A","2018",0.121,
"GRC","POVERTY","TOT","RT","A","2019",0.115,
"GRC","POVERTY","TOT","RT","A","2020",0.13,
"HUN","POVERTY","TOT","RT","A","2018",0.087,
"HUN","POVERTY","TOT","RT","A","2019",0.092,
"HUN","POVERTY","TOT","RT","A","2020",0.087,
"IRL","POVERTY","TOT","RT","A","2018",0.074,
"IRL","POVERTY","TOT","RT","A","2019",0.081,
"IRL","POVERTY","TOT","RT","A","2020",0.077,
"ITA","POVERTY","TOT","RT","A","2018",0.142,
"ITA","POVERTY","TOT","RT","A","2019",0.136,
"ITA","POVERTY","TOT","RT","A","2020",0.135,
"KOR","POVERTY","TOT","RT","A","2018",0.167,
"KOR","POVERTY","TOT","RT","A","2019",0.163,
"KOR","POVERTY","TOT","RT","A","2020",0.153,
"LUX","POVERTY","TOT","RT","A","2018",0.114,
"LUX","POVERTY","TOT","RT","A","2019",0.105,
"LUX","POVERTY","TOT","RT","A","2020",0.098,
"MEX","POVERTY","TOT","RT","A","2018",0.159,
"MEX","POVERTY","TOT","RT","A","2020",0.166,
"NLD","POVERTY","TOT","RT","A","2018",0.078,
"NLD","POVERTY","TOT","RT","A","2019",0.08,
"NLD","POVERTY","TOT","RT","A","2020",0.082,
"NLD","POVERTY","TOT","RT","A","2021",0.085,"P"
"NZL","POVERTY","TOT","RT","A","2018",0.137,
"NZL","POVERTY","TOT","RT","A","2019",0.129,
"NZL","POVERTY","TOT","RT","A","2020",0.124,
"NOR","POVERTY","TOT","RT","A","2018",0.084,
"NOR","POVERTY","TOT","RT","A","2019",0.084,
"NOR","POVERTY","TOT","RT","A","2020",0.084,
"NOR","POVERTY","TOT","RT","A","2021",0.079,
"POL","POVERTY","TOT","RT","A","2018",0.098,
"POL","POVERTY","TOT","RT","A","2019",0.094,
"POL","POVERTY","TOT","RT","A","2020",0.091,
"PRT","POVERTY","TOT","RT","A","2018",0.104,
"PRT","POVERTY","TOT","RT","A","2019",0.106,
