,code,mean value
0,AUS,0.125
1,AUT,0.09666666666666668
2,BEL,0.07866666666666666
3,BGR,0.167
4,CAN,0.10633333333333334
5,CHE,0.10200000000000001
6,CRI,0.20400000000000001
7,CZE,0.056666666666666664
8,DEU,0.10350000000000001
9,DNK,0.0645
10,ESP,0.14766666666666664
11,EST,0.15666666666666665
12,FIN,0.06325
13,FRA,0.0845
14,GBR,0.11766666666666666
15,GRC,0.122
16,HRV,0.13133333333333333
17,HUN,0.08866666666666667
18,IRL,0.07733333333333332
19,ISR,0.17033333333333334
20,ITA,0.1376666666666667
21,JPN,0.157
22,KOR,0.161
23,LTU,0.15
24,LUX,0.10566666666666667
25,LVA,0.1665
26,MEX,0.1625
27,NLD,0.08125
28,NOR,0.08275
29,NZL,0.13
30,POL,0.09433333333333334
31,PRT,0.11266666666666665
32,ROU,0.17300000000000001
33,SVK,0.0775
34,SVN,0.073
35,SWE,0.0895
36,TUR,0.147
37,USA,0.16899999999999998
