,country name,code
0,Afghanistan,AFG
1,Åland Islands,ALA
2,Albania,ALB
3,Algeria,DZA
4,American Samoa,ASM
5,Andorra,AND
6,Angola,AGO
7,Anguilla,AIA
8,Antarctica,ATA
9,Antigua and Barbuda,ATG
10,Argentina,ARG
11,Armenia,ARM
12,Aruba,ABW
13,Australia,AUS
14,Austria,AUT
15,Azerbaijan,AZE
16,Bahamas,BHS
17,Bahrain,BHR
18,Bangladesh,BGD
19,Barbados,BRB
20,Belarus,BLR
21,Belgium,BEL
22,Belize,BLZ
23,Benin,BEN
24,Bermuda,BMU
25,Bhutan,BTN
26,"Bolivia, Plurinational State of",BOL
27,Bosnia and Herzegovina,BIH
28,Botswana,BWA
29,Bouvet Island,BVT
30,Brazil,BRA
31,British Indian Ocean Territory,IOT
32,Brunei Darussalam,BRN
33,Bulgaria,BGR
34,Burkina Faso,BFA
35,Burundi,BDI
36,Cambodia,KHM
37,Cameroon,CMR
38,Canada,CAN
39,Cape Verde,CPV
40,Cayman Islands,CYM
41,Central African Republic,CAF
42,Chad,TCD
43,Chile,CHL
44,China,CHN
45,Christmas Island,CXR
46,Cocos (Keeling) Islands,CCK
47,Colombia,COL
48,Comoros,COM
49,Congo,COG
50,"Congo, the Democratic Republic of the",COD
51,Cook Islands,COK
52,Costa Rica,CRI
53,Côte d'Ivoire,CIV
54,Croatia,HRV
55,Cuba,CUB
56,Cyprus,CYP
57,Czech Republic,CZE
58,Denmark,DNK
59,Djibouti,DJI
60,Dominica,DMA
61,Dominican Republic,DOM
62,Ecuador,ECU
63,Egypt,EGY
64,El Salvador,SLV
65,Equatorial Guinea,GNQ
66,Eritrea,ERI
67,Estonia,EST
68,Ethiopia,ETH
69,Falkland Islands (Malvinas),FLK
70,Faroe Islands,FRO
71,Fiji,FJI
72,Finland,FIN
73,France,FRA
74,French Guiana,GUF
75,French Polynesia,PYF
76,French Southern Territories,ATF
77,Gabon,GAB
78,Gambia,GMB
79,Georgia,GEO
80,Germany,DEU
81,Ghana,GHA
82,Gibraltar,GIB
83,Greece,GRC
84,Greenland,GRL
85,Grenada,GRD
86,Guadeloupe,GLP
87,Guam,GUM
88,Guatemala,GTM
89,Guernsey,GGY
90,Guinea,GIN
91,Guinea-Bissau,GNB
92,Guyana,GUY
93,Haiti,HTI
94,Heard Island and McDonald Islands,HMD
95,Holy See (Vatican City State),VAT
96,Honduras,HND
97,Hong Kong,HKG
98,Hungary,HUN
99,Iceland,ISL
100,India,IND
101,Indonesia,IDN
102,Iran,IRN
103,Iraq,IRQ
104,Ireland,IRL
105,Isle of Man,IMN
106,Israel,ISR
107,Italy,ITA
108,Jamaica,JAM
109,Japan,JPN
110,Jersey,JEY
111,Jordan,JOR
112,Kazakhstan,KAZ
113,Kenya,KEN
114,Kiribati,KIR
115,"Korea, Democratic People's Republic of",PRK
116,"Korea, Republic of",KOR
117,Kuwait,KWT
118,Kyrgyzstan,KGZ
119,Lao People's Democratic Republic,LAO
120,Latvia,LVA
121,Lebanon,LBN
122,Lesotho,LSO
123,Liberia,LBR
124,Libyan Arab Jamahiriya,LBY
125,Liechtenstein,LIE
126,Lithuania,LTU
127,Luxembourg,LUX
128,Macao,MAC
129,"Macedonia, the former Yugoslav Republic of",MKD
130,Madagascar,MDG
131,Malawi,MWI
132,Malaysia,MYS
133,Maldives,MDV
134,Mali,MLI
135,Malta,MLT
136,Marshall Islands,MHL
137,Martinique,MTQ
138,Mauritania,MRT
139,Mauritius,MUS
140,Mayotte,MYT
141,Mexico,MEX
142,"Micronesia, Federated States of",FSM
143,"Moldova, Republic of",MDA
144,Monaco,MCO
145,Mongolia,MNG
146,Montenegro,MNE
147,Montserrat,MSR
148,Morocco,MAR
149,Mozambique,MOZ
150,Myanmar,MMR
151,Namibia,NAM
152,Nauru,NRU
153,Nepal,NPL
154,Netherlands,NLD
155,Netherlands Antilles,ANT
156,New Caledonia,NCL
157,New Zealand,NZL
158,Nicaragua,NIC
159,Niger,NER
160,Nigeria,NGA
161,Niue,NIU
162,Norfolk Island,NFK
