,country,density,pov rate,amount
0,United States,34.56,0.17,98
1,Russia,9.0,,27
2,Ukraine,78.52,,26
3,South Africa,43.68,,19
4,Germany,231.31,0.1,13
5,United Kingdom,264.94,0.12,13
6,France,120.59,0.08,12
7,India,421.14,,11
8,China,144.58,,10
9,Italy,203.41,0.14,9
10,Brazil,23.97,,9
11,Canada,3.87,0.11,7
12,Colombia,43.55,,7
13,Spain,93.52,0.15,5
14,Iran,,,5
15,Japan,349.29,0.16,5
16,Mexico,62.93,0.16,5
17,Australia,3.01,0.12,5
18,Ecuador,63.37,,4
19,Turkey,97.36,0.15,4
20,South Korea,,0.16,4
21,Belgium,369.72,0.08,3
22,Indonesia,124.0,,3
23,Argentina,15.14,,3
24,Czech Republic,136.24,0.06,3
25,Peru,23.73,,2
26,Poland,125.83,0.09,2
27,Pakistan,236.28,,2
28,Romania,86.79,0.17,2
29,Netherlands,498.35,0.08,2
30,Serbia,81.91,,2
31,Latvia,32.38,0.17,2
32,Switzerland,204.51,0.1,2
33,Hungary,109.33,0.09,2
34,Costa Rica,95.42,0.2,2
35,Venezuela,,,2
36,Bangladesh,1203.0,,2
37,Austria,102.83,0.1,2
38,Swaziland,72.65,,1
39,Tajikistan,58.64,,1
40,Thailand,131.16,,1
41,Tunisia,70.07,,1
42,Afghanistan,46.8,,1
43,Singapore,7713.14,,1
44,Nepal,193.91,,1
45,Morocco,73.96,,1
46,Malaysia,90.45,,1
47,Angola,17.22,,1
48,Ireland,66.7,0.08,1
49,Iraq,76.94,,1
50,Greece,85.59,0.12,1
51,Egypt,,,1
52,Denmark,132.31,0.06,1
53,Cyprus,123.5,,1
54,Chile,23.7,,1
55,Belarus,46.65,,1
56,Yemen,,,1
